Timestamp,CarPitch,CarRoll,CarYaw,LatAccel,Ay,ForwardAccel,LinAccel,RGrad,ShockPot,GyX
2025-05-24 15:38:18.978,84.65,-5.25,-43.31,-0.43,9.70,0.80,-0.22,12.34,2.69,-0.06
2025-05-24 15:38:18.079,84.11,3.12,-43.73,-0.43,9.70,0.80,-0.22,-7.32,2.69,0.12
2025-05-24 15:38:18.180,84.11,3.12,-43.73,-0.39,10.39,-0.28,0.04,-8.06,2.69,0.18
2025-05-24 15:38:19.301,86.24,-1.04,-45.73,0.07,10.43,1.06,0.68,-14.06,2.69,0.39
2025-05-24 15:38:19.381,86.24,-1.04,-45.73,-0.31,10.09,0.07,0.68,3.38,2.69,0.14
2025-05-24 15:38:19.481,86.24,-1.04,-45.73,1.72,9.47,0.76,0.68,-0.61,2.44,0.07
2025-05-24 15:38:19.590,90.50,3.65,-43.10,-1.57,10.73,-0.32,0.68,-2.32,2.69,0.08
2025-05-24 15:38:19.690,91.91,4.83,-44.30,-0.31,10.51,-0.28,0.68,-15.64,2.69,0.42
2025-05-24 15:38:19.787,91.91,4.83,-44.30,-0.31,10.51,-0.28,-0.23,-15.64,2.69,0.31
2025-05-24 15:38:19.887,91.91,4.83,-44.30,-1.84,9.55,-1.20,-0.23,-2.62,2.69,0.58
2025-05-24 15:38:19.989,91.91,4.83,-44.30,-4.25,8.24,-1.12,-0.23,-1.13,2.69,-0.28
2025-05-24 15:38:19.089,91.91,4.83,-44.30,-6.25,8.86,-2.12,-0.23,-0.77,2.69,0.16
2025-05-24 15:38:19.190,91.91,4.83,-44.30,-7.55,8.63,-2.46,-0.23,-0.64,2.69,0.22
2025-05-24 15:38:20.302,91.91,4.83,-44.30,-8.17,6.02,-1.70,-0.05,-0.59,2.69,-0.02
2025-05-24 15:38:20.389,91.91,4.83,-44.30,-7.97,3.80,-1.58,-0.05,-0.61,2.44,0.28
2025-05-24 15:38:20.491,118.19,71.72,-22.04,-9.50,2.54,-1.39,-0.05,-7.55,2.69,0.20
2025-05-24 15:38:20.602,118.19,71.72,-22.04,-10.35,1.96,-0.96,0.20,-6.93,2.44,-0.66
2025-05-24 15:38:20.702,118.19,71.72,-22.04,-10.65,0.47,-0.16,0.71,-6.73,2.69,-0.86
2025-05-24 15:38:20.820,-110.80,76.89,112.62,-9.58,-2.02,-0.93,0.71,-8.02,2.69,-0.81
2025-05-24 15:38:20.900,-110.80,76.89,112.62,-9.35,-2.44,-0.66,0.71,-8.22,2.69,-0.06
2025-05-24 15:38:20.999,-110.80,76.89,112.62,-9.46,-2.06,0.11,0.71,-8.12,2.69,-0.04
2025-05-24 15:38:20.101,-110.80,76.89,112.62,-11.19,-3.63,-1.27,-2.07,-6.87,2.69,-0.80
2025-05-24 15:38:20.201,-87.85,78.54,135.96,-8.43,-0.75,0.64,-2.07,-9.31,2.69,0.84
2025-05-24 15:38:21.321,-94.56,62.40,134.34,-9.12,-4.47,0.07,0.21,-6.84,2.44,0.12
2025-05-24 15:38:21.400,-94.56,62.40,134.34,-8.66,-7.65,0.64,0.21,-7.21,2.69,-0.92
2025-05-24 15:38:21.501,-94.56,62.40,134.34,-6.40,-5.93,-0.93,0.21,-9.75,2.69,0.10
2025-05-24 15:38:21.601,-94.56,62.40,134.34,-6.40,-5.93,-0.93,0.21,-9.75,2.69,-0.34
2025-05-24 15:38:21.703,-94.56,62.40,134.34,-6.40,-5.93,-0.93,0.21,-9.75,2.69,-0.57
2025-05-24 15:38:21.821,-94.56,62.40,134.34,-1.61,-9.72,-1.81,0.72,-38.68,2.69,0.35
2025-05-24 15:38:21.931,-102.09,5.56,136.72,-1.07,-9.64,-1.46,0.66,-5.18,2.69,0.16
2025-05-24 15:38:21.007,-102.09,5.56,136.72,-1.07,-9.64,-1.46,0.66,-5.18,2.69,0.03
2025-05-24 15:38:21.110,-102.09,5.56,136.72,0.19,-10.18,-1.58,0.66,29.66,2.69,0.14
